year,continent,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1922,Americas,Epidemic,2,0,0,0,0,0,0
1922,Americas,Wildfire,2,86,0,0,22000,22000,16000
1922,Asia,Storm,4,200000,0,0,0,0,0
1922,Europe,Landslide,2,200,0,0,0,0,0
1923,Africa,Epidemic,2,200000,0,0,0,0,0
1923,Americas,Epidemic,2,0,0,0,0,0,0
1923,Americas,Storm,2,8,0,0,2600,2600,0
1923,Asia,Earthquake,8,304688,200000,207466,0,407466,1200000
1923,Asia,Landslide,2,400,0,0,0,0,0
1923,Asia,Storm,8,6224,0,0,50000,50000,20000
1923,Europe,Earthquake,2,36,0,0,0,0,0
1923,Europe,Epidemic,2,0,36000000,0,0,36000000,0
1923,Europe,Storm,2,46,0,0,0,0,0
1924,Americas,Earthquake,2,80,0,0,0,0,0
1924,Asia,Earthquake,2,1454,0,0,22500,22500,0
1924,Asia,Epidemic,2,600000,0,0,0,0,0
1924,Asia,Storm,4,4484,2000000,0,0,2000000,0
1925,Americas,Earthquake,2,26,0,0,0,0,16000
1925,Americas,Storm,2,1478,0,0,0,0,36000
1925,Asia,Earthquake,2,10000,0,0,0,0,0
1925,Asia,Storm,2,160,0,0,0,0,0
1925,Europe,Flood,2,0,0,0,0,0,38000
1925,Oceania,Storm,2,0,0,0,0,0,0
1926,Africa,Earthquake,2,24,0,0,0,0,0
1926,Americas,Landslide,2,200,0,0,0,0,0
1926,Americas,Storm,8,1736,0,0,0,0,146000
1926,Asia,Epidemic,2,846000,0,0,0,0,0
1926,Asia,Flood,2,0,0,0,0,0,0
1926,Asia,Storm,6,5400,0,0,80000,80000,0
1926,Asia,"Volcanic activity",2,288,0,0,0,0,0
1926,Europe,Flood,6,2000,0,0,0,0,62000
1927,Africa,Earthquake,2,0,0,0,0,0,0
1927,Africa,Flood,2,6000,0,0,0,0,0
1927,Americas,Flood,2,492,0,0,0,0,460
1927,Americas,Storm,2,174,0,0,0,0,44000
1927,Asia,Earthquake,10,412284,0,100,0,100,160000
1927,Asia,Storm,6,11370,80000,20,0,80020,0
1928,Americas,Earthquake,4,494,0,0,0,0,0
1928,Americas,Storm,10,8272,0,0,0,0,150000
1928,Asia,Drought,2,6000000,0,0,0,0,0
1928,Asia,Earthquake,4,356,0,418,0,418,0
1928,Asia,Flood,2,72,0,0,4000,4000,0
1928,Europe,Earthquake,6,420,0,0,0,0,0
1928,Europe,Flood,2,0,12000,0,0,12000,0
1928,Europe,Storm,4,176,0,0,0,0,0
1929,Americas,Storm,2,0,0,0,0,0,0
1929,Americas,"Volcanic activity",2,10000,0,0,0,0,0
1929,Americas,Wildfire,2,120,0,0,0,0,0
1929,Asia,Earthquake,2,6600,0,2242,0,2242,0
1929,Europe,Storm,2,0,0,0,0,0,110000
1929,Oceania,Earthquake,2,34,0,0,0,0,0
1930,Africa,"Insect infestation",2,0,0,0,0,0,0
1930,Americas,Storm,4,8000,12000,12000,0,24000,80000
1930,Asia,Earthquake,8,6072,0,0,0,0,0
1930,Asia,"Volcanic activity",2,2738,0,0,0,0,0
1930,Europe,Earthquake,4,4068,20000,416,0,20416,0
1930,Europe,Flood,2,0,0,0,0,0,0
1930,Europe,Storm,4,164,0,0,0,0,0
1930,Oceania,Earthquake,2,22,0,0,0,0,0
1931,Americas,Drought,2,0,50000,0,0,50000,0
1931,Americas,Earthquake,2,2000,0,0,0,0,30000
1931,Americas,Landslide,2,380,0,0,0,0,0
1931,Americas,Storm,4,6000,0,0,0,0,15000
1931,Asia,Flood,2,7400000,0,0,0,0,2800000
1931,Asia,Storm,2,0,0,0,0,0,0
1931,Asia,"Volcanic activity",2,2600,0,0,0,0,0
1931,Europe,Earthquake,2,462,0,1764,0,1764,0
1931,Oceania,Earthquake,4,612,22000,0,0,22000,50000
1931,Oceania,Storm,2,400,0,0,0,0,0
1932,Americas,Epidemic,2,32,0,0,0,0,0
1932,Americas,Storm,8,6194,0,0,0,0,60000
1932,Asia,Earthquake,4,140012,0,230,5920,6150,0
1932,Asia,Storm,2,294,0,0,5000,5000,0
1933,Americas,Drought,2,0,0,0,0,0,0
1933,Americas,Earthquake,2,232,0,0,0,0,77000
1933,Americas,Flood,2,106,0,0,0,0,0
1933,Americas,Storm,6,126,0,0,0,0,6000
1933,Asia,Earthquake,6,32128,0,0,0,0,50000
1933,Asia,Flood,2,36000,0,0,7200000,7200000,0
1934,Americas,Storm,2,4000,0,0,0,0,0
1934,Asia,Earthquake,4,30080,0,0,0,0,0
1934,Asia,Landslide,2,1000,0,0,0,0,0
1934,Asia,Storm,6,6182,0,0,0,0,100000
1934,Europe,Earthquake,4,912,0,2378,0,2378,0
1935,Africa,Epidemic,2,4000,0,0,0,0,0
1935,Americas,Storm,10,5214,0,1000,0,1000,16000
1935,Asia,Earthquake,6,132220,0,0,0,0,0
1935,Asia,Flood,2,284000,20060000,0,0,20060000,0
1935,Asia,Storm,4,120200,0,0,0,0,0
1936,Americas,"Extreme temperature ",4,3386,0,0,0,0,0
1936,Americas,Flood,2,400,0,0,0,0,0
1936,Americas,Storm,2,910,0,0,0,0,42000
